setting_id,owner,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,privacy_level,timer_preference
1,1,True,True,False,느림,2,True,공개,107
2,2,True,True,True,느림,19,True,공개,94
3,3,True,False,False,느림,17,False,친구만,128
4,4,True,False,False,빠름,2,True,비공개,172
5,5,True,True,False,보통,19,False,공개,136
6,6,True,False,False,빠름,5,True,비공개,46
7,7,True,True,False,보통,9,False,비공개,112
8,8,False,True,True,느림,6,True,친구만,135
9,9,True,True,True,보통,18,True,비공개,83
10,10,True,False,False,빠름,6,True,공개,148
11,11,True,True,False,느림,13,True,친구만,31
12,12,True,True,True,느림,3,True,친구만,113
13,13,True,True,True,느림,11,True,비공개,98
14,14,True,True,True,빠름,14,True,공개,95
15,15,True,True,True,빠름,3,True,친구만,40
16,16,True,True,False,보통,6,True,비공개,128
17,17,True,False,False,느림,9,False,공개,123
18,18,True,True,False,빠름,2,False,공개,140
19,19,True,True,True,느림,13,False,공개,97
20,20,True,True,True,빠름,20,True,공개,30
21,21,False,True,False,보통,17,False,공개,30
22,22,False,False,False,느림,16,False,공개,163
23,23,True,True,False,빠름,5,False,비공개,49
24,24,True,True,False,느림,5,False,비공개,109
25,25,False,True,False,빠름,12,True,공개,104
26,26,False,True,False,빠름,11,True,공개,41
27,27,True,True,False,빠름,9,True,친구만,40
28,28,False,True,False,느림,17,True,친구만,35
29,29,False,True,False,보통,3,True,공개,102
30,30,False,True,True,보통,1,True,비공개,52
31,31,False,True,True,느림,8,False,공개,144
32,32,True,False,False,느림,9,True,공개,55
33,33,True,False,True,보통,9,True,친구만,77
34,34,True,True,False,빠름,17,True,친구만,39
35,35,False,True,True,빠름,14,True,공개,41
36,36,True,True,True,보통,19,True,공개,168
37,37,False,False,False,빠름,9,True,비공개,97
38,38,True,True,True,느림,6,False,친구만,84
39,39,True,True,True,느림,8,True,공개,79
40,40,True,True,True,느림,8,False,친구만,98
41,41,True,True,False,빠름,4,True,친구만,141
42,42,True,False,True,빠름,18,True,비공개,76
43,43,True,True,False,느림,5,True,친구만,53
44,44,True,True,False,느림,17,False,친구만,104
45,45,True,True,False,느림,16,True,공개,133
46,46,True,False,False,느림,9,True,친구만,51
47,47,False,True,True,빠름,10,True,비공개,171
48,48,False,True,False,보통,8,True,공개,53
49,49,True,False,False,느림,18,True,친구만,65
50,50,False,True,False,보통,13,True,공개,148
51,51,True,True,True,느림,14,True,비공개,79
52,52,False,False,False,빠름,7,True,친구만,114
53,53,True,True,False,느림,16,False,비공개,147
54,54,True,True,False,느림,20,False,비공개,142
55,55,True,True,False,빠름,20,True,비공개,140
56,56,True,True,False,빠름,4,False,친구만,87
57,57,True,True,False,느림,11,True,공개,103
58,58,False,False,True,느림,9,True,공개,169
59,59,True,False,False,빠름,4,False,공개,88
60,60,True,True,True,보통,15,False,공개,72
61,61,True,True,False,느림,20,False,공개,171
62,62,True,True,False,느림,17,False,친구만,164
63,63,True,False,False,보통,5,False,친구만,158
64,64,True,False,False,보통,10,False,비공개,76
65,65,True,False,False,느림,14,False,비공개,152
66,66,True,False,False,느림,2,True,친구만,162
67,67,True,True,False,보통,20,True,친구만,157
68,68,False,True,True,느림,8,True,비공개,46
69,69,True,True,False,보통,7,False,친구만,171
70,70,True,True,False,느림,20,False,비공개,78
71,71,True,True,True,빠름,4,False,친구만,175
72,72,True,True,False,빠름,5,True,비공개,76
73,73,False,True,False,보통,2,True,친구만,47
74,74,False,True,True,느림,20,True,친구만,173
75,75,True,True,True,빠름,1,False,비공개,115
76,76,False,False,True,보통,15,True,친구만,48
77,77,True,False,True,보통,12,True,친구만,175
78,78,False,True,False,빠름,10,False,친구만,112
79,79,True,True,False,빠름,10,True,공개,47
80,80,True,True,False,느림,18,False,공개,130
81,81,True,False,False,빠름,6,True,친구만,57
82,82,False,True,True,느림,1,True,비공개,69
83,83,False,True,False,보통,15,False,공개,98
84,84,True,True,False,보통,11,True,비공개,86
85,85,True,False,False,보통,18,True,친구만,152
86,86,True,True,False,느림,3,False,비공개,168
87,87,True,True,False,느림,17,True,친구만,110
88,88,True,False,False,보통,11,True,공개,85
89,89,False,False,True,빠름,15,True,공개,70
90,90,True,True,False,보통,16,True,공개,60
91,91,True,True,False,느림,1,True,공개,159
92,92,True,True,False,보통,12,False,공개,70
93,93,True,True,True,빠름,18,True,친구만,71
94,94,True,True,False,빠름,2,True,공개,166
95,95,True,False,False,보통,11,True,친구만,141
96,96,True,True,False,느림,19,False,친구만,56
97,97,True,False,False,느림,8,True,공개,171
98,98,True,True,True,느림,20,False,친구만,46
99,99,True,True,True,빠름,15,True,비공개,32
100,100,True,True,False,보통,2,True,공개,35
101,101,True,True,False,빠름,2,False,친구만,155
102,102,False,True,False,보통,1,True,공개,36
103,103,True,True,False,보통,8,False,비공개,108
104,104,True,True,True,빠름,1,False,친구만,158
105,105,True,False,False,느림,5,True,비공개,175
106,106,True,False,True,빠름,18,True,비공개,53
107,107,True,True,True,보통,11,True,공개,154
108,108,True,True,False,느림,8,False,공개,84
109,109,True,True,True,빠름,17,True,비공개,37
110,110,False,True,True,보통,3,False,공개,123
111,111,True,True,True,느림,18,False,친구만,133
112,112,True,True,False,빠름,4,True,비공개,38
113,113,True,True,True,빠름,5,False,공개,163
114,114,True,False,False,느림,9,True,공개,47
115,115,True,True,True,빠름,20,True,친구만,33
116,116,False,True,True,보통,20,True,공개,122
117,117,True,True,True,보통,9,True,친구만,40
118,118,True,True,True,느림,2,True,공개,115
119,119,True,False,False,빠름,12,True,공개,68
120,120,False,False,False,보통,10,False,비공개,46
121,121,True,True,True,빠름,6,False,공개,157
122,122,True,True,False,빠름,1,False,비공개,60
123,123,True,True,True,보통,12,True,비공개,41
124,124,True,True,False,빠름,9,True,비공개,144
125,125,True,True,True,보통,5,False,공개,152
126,126,True,True,False,느림,5,True,비공개,144
127,127,True,True,True,느림,12,True,비공개,142
128,128,True,True,False,보통,5,True,비공개,68
129,129,False,True,False,느림,11,True,비공개,138
130,130,True,False,False,빠름,17,True,비공개,60
131,131,True,True,False,보통,13,True,공개,103
132,132,True,True,False,느림,5,False,공개,144
133,133,False,True,True,보통,2,True,비공개,153
134,134,True,True,True,보통,12,False,공개,125
135,135,True,True,False,빠름,20,False,친구만,177
136,136,True,False,False,느림,11,False,공개,87
137,137,True,True,True,빠름,4,True,비공개,128
138,138,False,False,False,보통,1,True,비공개,41
139,139,True,False,False,보통,17,True,비공개,64
140,140,True,True,False,보통,20,False,친구만,43
141,141,False,True,False,보통,12,False,공개,96
142,142,True,False,True,보통,4,True,비공개,44
143,143,True,True,False,빠름,5,False,친구만,56
144,144,True,True,False,보통,9,False,비공개,62
145,145,True,False,True,빠름,7,False,친구만,111
146,146,True,True,True,보통,18,False,비공개,80
147,147,True,False,True,보통,7,False,공개,63
148,148,False,True,False,느림,10,True,비공개,119
149,149,True,False,False,느림,10,True,친구만,128
150,150,False,False,True,빠름,12,False,비공개,174
151,151,True,False,False,느림,18,False,친구만,84
152,152,True,False,False,느림,3,False,비공개,102
153,153,True,True,True,빠름,6,False,공개,38
154,154,True,True,True,빠름,14,True,친구만,162
155,155,True,True,True,빠름,12,True,비공개,42
156,156,True,True,False,빠름,7,True,비공개,144
157,157,True,True,True,느림,10,True,비공개,173
158,158,True,True,False,보통,12,True,공개,113
159,159,True,True,True,느림,7,True,친구만,67
160,160,True,False,False,보통,6,True,비공개,52
161,161,True,False,False,빠름,18,True,공개,172
162,162,True,True,True,느림,11,True,친구만,45
163,163,True,True,False,보통,3,True,공개,62
164,164,True,True,False,보통,10,False,공개,118
165,165,True,True,True,느림,11,True,비공개,38
166,166,True,False,True,빠름,7,True,친구만,107
167,167,True,True,False,보통,8,True,공개,98
168,168,False,False,False,빠름,11,False,친구만,144
169,169,True,True,True,느림,19,True,공개,79
170,170,False,True,False,빠름,13,True,비공개,95
171,171,True,False,False,빠름,2,False,비공개,161
172,172,True,True,False,보통,2,True,비공개,70
173,173,True,True,True,보통,1,False,친구만,33
174,174,True,False,True,느림,14,False,친구만,68
175,175,False,False,False,빠름,9,True,비공개,146
176,176,True,True,False,보통,14,True,친구만,31
177,177,True,False,False,느림,2,False,친구만,144
178,178,False,True,True,빠름,18,False,공개,171
179,179,False,True,False,보통,7,True,친구만,105
180,180,False,True,True,보통,15,False,친구만,100
181,181,True,False,True,빠름,12,True,친구만,110
182,182,True,False,False,느림,11,True,비공개,95
183,183,True,True,False,느림,11,True,비공개,35
184,184,True,False,False,보통,18,True,비공개,166
185,185,True,True,True,느림,4,True,친구만,59
186,186,False,False,True,빠름,11,False,공개,115
187,187,False,True,False,보통,11,True,친구만,144
188,188,True,False,False,느림,12,True,공개,102
189,189,True,True,True,느림,7,True,비공개,122
190,190,True,True,True,빠름,17,False,공개,62
191,191,True,True,True,느림,10,False,비공개,90
192,192,True,True,True,보통,19,True,비공개,117
193,193,True,False,False,느림,18,True,공개,101
194,194,True,True,False,느림,20,True,친구만,68
195,195,True,True,True,느림,15,False,공개,89
196,196,False,True,True,보통,15,True,친구만,99
197,197,True,False,False,느림,17,True,비공개,47
198,198,False,True,False,느림,15,True,친구만,116
199,199,True,True,False,느림,19,True,공개,102
200,200,False,False,False,느림,13,False,공개,45
201,201,False,False,True,보통,18,True,친구만,48
202,202,True,True,True,느림,1,True,친구만,144
203,203,True,False,True,빠름,11,True,비공개,132
204,204,True,True,True,보통,4,False,친구만,170
205,205,True,True,False,느림,1,True,공개,159
206,206,True,False,False,느림,12,True,비공개,75
207,207,True,False,False,느림,1,False,비공개,135
208,208,True,False,True,느림,16,True,비공개,43
209,209,False,False,False,느림,13,True,비공개,87
210,210,True,False,False,빠름,2,False,비공개,110
211,211,True,True,False,느림,15,True,친구만,109
212,212,True,True,False,보통,17,True,공개,91
213,213,True,False,False,느림,3,False,비공개,166
214,214,True,True,True,빠름,4,True,비공개,80
215,215,True,True,True,보통,15,False,비공개,55
216,216,True,False,False,보통,14,False,친구만,172
217,217,True,True,False,보통,15,True,비공개,130
218,218,True,False,True,빠름,6,True,비공개,46
219,219,True,True,True,느림,11,True,공개,53
220,220,False,False,False,빠름,16,False,친구만,165
221,221,True,True,True,빠름,6,True,비공개,41
222,222,False,True,False,보통,11,True,공개,103
223,223,True,True,False,느림,18,False,공개,162
224,224,True,True,False,느림,1,False,공개,94
225,225,False,True,False,보통,7,True,친구만,98
226,226,False,True,True,빠름,12,False,공개,83
227,227,False,True,False,보통,7,True,공개,128
228,228,True,True,True,보통,9,False,공개,155
229,229,True,True,False,보통,1,True,친구만,74
230,230,True,True,False,보통,15,True,공개,111
231,231,True,True,False,느림,15,False,비공개,138
232,232,True,True,False,느림,6,True,친구만,34
233,233,True,False,False,빠름,4,False,비공개,122
234,234,True,True,True,보통,4,True,비공개,171
235,235,False,True,True,빠름,16,False,친구만,142
236,236,True,True,False,느림,17,False,비공개,118
237,237,False,True,False,느림,14,True,공개,167
238,238,True,False,False,빠름,3,True,친구만,140
239,239,False,True,False,보통,20,True,공개,174
240,240,True,False,True,빠름,10,True,공개,37
241,241,False,True,True,느림,2,True,친구만,131
242,242,True,True,False,빠름,7,False,친구만,129
243,243,True,True,False,느림,2,True,공개,107
244,244,True,True,True,보통,3,True,공개,135
245,245,True,False,False,보통,5,True,공개,114
246,246,False,False,False,느림,17,True,친구만,147
247,247,True,False,False,보통,13,True,공개,38
248,248,True,True,False,빠름,2,False,공개,176
249,249,True,False,False,보통,7,False,친구만,130
250,250,True,False,False,느림,2,True,공개,146
251,251,True,False,True,보통,2,True,비공개,169
252,252,True,True,True,느림,18,True,비공개,145
253,253,True,True,False,빠름,6,False,공개,160
254,254,True,True,True,느림,3,True,친구만,171
255,255,True,True,False,느림,12,True,공개,37
256,256,True,True,False,빠름,9,False,비공개,157
257,257,True,False,False,보통,1,True,공개,110
258,258,True,True,False,빠름,3,True,친구만,101
259,259,True,True,True,느림,7,True,비공개,76
260,260,True,False,True,보통,17,False,친구만,153
261,261,False,True,True,느림,9,True,공개,117
262,262,True,True,True,빠름,12,False,비공개,163
263,263,True,True,True,보통,20,True,친구만,159
264,264,False,True,True,느림,19,False,공개,54
265,265,True,True,False,빠름,9,True,친구만,90
266,266,True,False,False,보통,11,True,비공개,45
267,267,False,False,True,보통,11,False,친구만,60
268,268,True,True,False,느림,9,True,친구만,44
269,269,True,False,True,느림,3,False,친구만,167
270,270,False,True,False,빠름,12,True,공개,118
271,271,True,True,True,빠름,13,True,공개,112
272,272,True,True,False,빠름,12,False,공개,144
273,273,False,False,False,느림,16,False,비공개,116
274,274,False,False,False,느림,15,False,친구만,105
275,275,True,True,True,느림,3,True,공개,78
276,276,False,True,False,빠름,20,False,친구만,173
277,277,True,False,False,보통,14,True,친구만,163
278,278,False,False,True,빠름,10,False,친구만,161
279,279,True,True,False,빠름,19,True,친구만,38
280,280,True,True,True,빠름,18,False,비공개,130
281,281,True,True,True,느림,1,True,친구만,77
282,282,True,True,False,빠름,20,False,공개,158
283,283,True,True,False,느림,7,True,공개,172
284,284,False,True,True,느림,20,True,친구만,127
285,285,False,False,False,느림,13,False,비공개,52
286,286,False,True,False,보통,5,True,공개,143
287,287,True,False,True,느림,5,False,친구만,96
288,288,True,True,False,보통,7,True,공개,49
289,289,True,True,False,보통,13,False,비공개,80
290,290,True,True,True,빠름,19,True,친구만,108
291,291,True,True,False,보통,20,True,공개,103
292,292,True,False,False,느림,20,True,비공개,143
293,293,True,True,True,빠름,18,False,친구만,157
294,294,True,False,False,빠름,13,False,친구만,36
295,295,False,False,False,빠름,20,True,비공개,151
296,296,True,False,False,빠름,14,True,공개,55
297,297,True,False,False,보통,14,False,친구만,159
298,298,True,True,True,보통,10,False,친구만,37
299,299,False,False,False,빠름,8,False,친구만,62
300,300,True,True,True,보통,14,False,친구만,36
